Year,AQGC point,Generator-level,Passing preselection,Passing dijet kinematics,Passing jet substructure,Passing xi(jets),Passing 2 PPS multiRP,Passing pp-diboson matching,Passing WW,Passing ZZ,Expected WW,Expected ZZ,Relative Uncertainty WW + 1,Relative Uncertainty ZZ + 1,Expected WW (protonSyst),Expected ZZ (protonSyst),Expected WW (JECSystUp),Expected ZZ (JECSystUp),Expected WW (JECSystDown),Expected ZZ (JECSystDown),Relative Uncertainty WW + 1 (protonSyst),Relative Uncertainty ZZ + 1 (protonSyst),Relative Uncertainty WW + 1 (JECSystUp),Relative Uncertainty ZZ + 1 (JECSystUp),Relative Uncertainty WW + 1 (JECSystDown),Relative Uncertainty ZZ + 1 (JECSystDown),Expected WW (A),Expected ZZ (A),Relative Uncertainty WW + 1 (A),Relative Uncertainty ZZ + 1 (A),Expected WW (protonSyst) (A),Expected ZZ (protonSyst) (A),Expected WW (JECSystUp) (A),Expected ZZ (JECSystUp) (A),Expected WW (JECSystDown) (A),Expected ZZ (JECSystDown) (A),Relative Uncertainty WW + 1 (protonSyst) (A),Relative Uncertainty ZZ + 1 (protonSyst) (A),Relative Uncertainty WW + 1 (JECSystUp) (A),Relative Uncertainty ZZ + 1 (JECSystUp) (A),Relative Uncertainty WW + 1 (JECSystDown) (A),Relative Uncertainty ZZ + 1 (JECSystDown) (A),Expected WW (B),Expected ZZ (B),Relative Uncertainty WW + 1 (B),Relative Uncertainty ZZ + 1 (B),Expected WW (protonSyst) (B),Expected ZZ (protonSyst) (B),Expected WW (JECSystUp) (B),Expected ZZ (JECSystUp) (B),Expected WW (JECSystDown) (B),Expected ZZ (JECSystDown) (B),Relative Uncertainty WW + 1 (protonSyst) (B),Relative Uncertainty ZZ + 1 (protonSyst) (B),Relative Uncertainty WW + 1 (JECSystUp) (B),Relative Uncertainty ZZ + 1 (JECSystUp) (B),Relative Uncertainty WW + 1 (JECSystDown) (B),Relative Uncertainty ZZ + 1 (JECSystDown) (B),Passing WW (A),Passing ZZ (A),Passing WW (B),Passing ZZ (B)
2016,WW_ACW2e-5,164.7623733,42.89400645,31.57448314,13.96389447,13.47419856,0.6224041971,0.3871671735,0.336121694,0.05104513204,3.333157869,0.5061901286,1.070159064,1.180034149,2.283633966,0.3261007397,3.369177321,0.4777934315,3.285438738,0.6093659923,1.314873746,1.355774202,1.010806405,1.056098876,1.014316493,1.203828281,1.897439607,0.3049627318,1.092988179,1.231946776,1.060311363,0.1021153457,1.919879165,0.2651789066,1.797965278,0.3422336941,1.441188347,1.665154673,1.01182623,1.130454712,1.052425558,1.12221481,1.435721543,0.2012272327,1.106899732,1.285540916,1.223322603,0.2239855745,1.449298156,0.2126145249,1.487476742,0.2671309857,1.147938812,1.113097723,1.0094563,1.056589221,1.036048215,1.327509115,0.1913412566,0.03075299583,0.1447807683,0.02029211967
2016,ZZ_A0Z5e-6,17.85999169,5.416613999,4.861278989,2.505756834,2.426285229,0.1122250438,0.07128083422,0.01317399423,0.05810676855,0.1306401916,0.576216996,1.116434556,1.055440516,0.07977643955,0.3627269926,0.1306134482,0.5810680111,0.1226114872,0.5738986394,1.389342295,1.370502788,1.000204711,1.00841873,1.061456619,1.004023409,0.06434135615,0.3414762169,1.165911004,1.072017836,0.03663120327,0.1834377967,0.06631009962,0.3439688487,0.05825665302,0.3382434466,1.430674057,1.46280945,1.030598414,1.007299577,1.094569084,1.009467044,0.06629874693,0.2347409562,1.163443493,1.086861207,0.04314539568,0.179289373,0.06430326001,0.2370984539,0.06435462161,0.2356551928,1.349227585,1.236224578,1.030098411,1.010042976,1.029323711,1.003894662,0.006488299228,0.03443508199,0.00668568607,0.02367170442
2016,ZZ_A0Z1e-5,71.47586892,21.7731167,19.58471521,10.00013663,9.660117633,0.4404715846,0.2731601165,0.04241449627,0.2307456202,0.4206042469,2.28819381,1.130051218,1.055757699,0.2767835599,1.402718898,0.4342435623,2.268621574,0.3715793984,2.320803533,1.341938266,1.386975486,1.032427907,1.008553574,1.11655814,1.014251294,0.2483546254,1.268590071,1.169244718,1.074884269,0.1172754193,0.5880840562,0.2628198546,1.248134299,0.2229349053,1.270660902,1.527790477,1.536427039,1.058244251,1.016124808,1.102352513,1.001632388,0.172248839,1.019600182,1.203223112,1.083528811,0.1595075715,0.8146348419,0.1714239923,1.020487275,0.1486436394,1.050141208,1.073970121,1.20102521,1.004788692,1.00087004,1.137041269,1.029953923,0.02504453155,0.1279269271,0.01736988581,0.1028183344
2016,ZZ_A0Z2e-5,285.759867,86.98117605,78.32516517,40.02922243,38.63454119,1.752287103,1.096697393,0.1977113598,0.8989877551,1.96060887,8.914831036,1.120471873,1.056496896,1.438716964,5.560342128,1.876987449,8.694943152,1.860748043,8.920664361,1.26618869,1.376281827,1.042650741,1.024665401,1.050933579,1.000654339,0.9825358949,4.972476743,1.170179377,1.075647532,0.6684970128,2.41578746,0.9825358949,5.030755925,0.8503063763,4.958052781,1.319620773,1.514168173,1,1.011720353,1.134579835,1.00290076,0.9780709828,3.942334374,1.170567371,1.084958026,0.7702173899,3.144554668,0.8944507008,3.664164463,1.010441666,3.962597352,1.212513812,1.202362263,1.085495106,1.070559695,1.033096456,1.005139843,0.09908070438,0.5014335871,0.09863045454,0.3975521594
2016,ZZ_A0Z5e-5,1786.740982,544.2804754,489.5752065,249.9816261,241.4818921,11.40301768,6.599550794,0.9450076571,5.65453417,9.371188365,56.07330737,1.137754246,1.05631502,6.982008804,38.70322579,9.962116946,53.98883925,8.909613214,57.28343948,1.254949476,1.309774515,1.06305802,1.037173982,1.049254708,1.021581251,5.687725833,32.67290898,1.176820657,1.073774865,4.11068807,15.6503247,5.855632774,31.85666998,5.226177356,33.03946964,1.277270355,1.52099996,1.029520927,1.024982134,1.081148158,1.011219101,3.683446527,23.40038061,1.219722809,1.087174781,2.871308286,23.05290109,4.106469946,22.13216927,3.683446527,24.24416545,1.220483245,1.014849311,1.114844458,1.054196184,1,1.036058595,0.5735606045,3.29479549,0.3714454387,2.359736887
2016,ZZ_ACZ5e-6,1.275293156,0.4078668077,0.3669094927,0.1884883284,0.181819693,0.008824709816,0.005207289767,0.0007533870836,0.004453897582,0.007470978906,0.04416716932,1.130105582,1.053509994,0.006226237304,0.0290442405,0.00798864957,0.04409445211,0.007762758296,0.0456868958,1.166610242,1.342402039,1.069290875,1.001646409,1.039055041,1.03440851,0.004097805802,0.02636661574,1.17567461,1.069256014,0.003104995823,0.01274171206,0.00435952453,0.02678929876,0.004097805802,0.02668691293,1.242278436,1.516748293,1.063868016,1.016030992,1,1.012147831,0.003373173104,0.01780056623,1.193626756,1.084288393,0.003121238951,0.01630254109,0.00362912504,0.01730526717,0.003664939847,0.01899998287,1.074687585,1.084156038,1.075878684,1.027824905,1.086496226,1.067380814,0.0004132301806,0.002658857426,0.000340156903,0.001795041432
2016,ZZ_ACZ1e-5,5.100496092,1.637475958,1.473962327,0.7561637636,0.7285312768,0.03354464302,0.01956508464,0.003284714978,0.0162803543,0.03257294536,0.1614444768,1.124844334,1.056077127,0.01948651553,0.1122558501,0.03249227415,0.1614272155,0.02997633742,0.1640118421,1.401757645,1.304678287,1.002476633,1.000106918,1.079716707,1.015902466,0.01307019405,0.08579949893,1.197086254,1.076922781,0.005213203453,0.04074175636,0.01355147985,0.08565318398,0.01157293831,0.08519408404,1.601138022,1.525151582,1.036823156,1.001705312,1.114554974,1.007056159,0.01950270562,0.07564533326,1.161342923,1.081923082,0.01427334762,0.07151409378,0.01894074861,0.07577372691,0.01840336357,0.07881791033,1.268135002,1.054613276,1.02881431,1.001697311,1.056368694,1.041940156,0.00131802211,0.008652177323,0.001966688261,0.007628212813
2016,ZZ_ACZ2e-5,20.40469049,6.548470153,5.896524454,3.024252723,2.914035513,0.1310689821,0.07652342887,0.01197571295,0.06454777738,0.1187574101,0.6400893959,1.130802237,1.056341086,0.08374482087,0.4675280602,0.1339147877,0.6245662859,0.1141644193,0.6587858451,1.294824459,1.269589431,1.12763311,1.024251472,1.038675404,1.029209122,0.05546516399,0.3862419777,1.191397112,1.072529686,0.0267205595,0.2169809715,0.05970959138,0.3815998162,0.05546516399,0.3850998764,1.518246092,1.438225299,1.076524201,1.012018791,1,1.002956958,0.06329220546,0.2538474182,1.179172114,1.089466234,0.05702413946,0.2505468855,0.07420535882,0.2429672824,0.05869901149,0.2736839369,1.099033775,1.013002034,1.172424918,1.042860928,1.072571242,1.078143472,0.005593207887,0.03894934263,0.006382500967,0.02559843476
2016,ZZ_ACZ5e-5,127.5124023,41.29789707,37.07832432,19.05729928,18.40718812,0.8760764628,0.5219089064,0.07946074682,0.4424467517,0.787974172,4.387532546,1.126913262,1.053783966,0.5820953603,3.000246477,0.8135038909,4.272836016,0.7167029134,4.551168969,1.261276091,1.316188212,1.032399182,1.026141465,1.090448724,1.037295774,0.3949865716,2.521237114,1.179255229,1.070950613,0.2618228469,1.351481003,0.3949865716,2.52566658,0.3816753267,2.628796999,1.337134815,1.463961166,1,1.001756862,1.0337005,1.042661551,0.3929877273,1.866295432,1.179710521,1.082465596,0.3202736556,1.648765474,0.4185174462,1.747169436,0.3350277136,1.922370701,1.185028861,1.116557087,1.064963146,1.063830192,1.147485556,1.030046298,0.03983116336,0.2542461303,0.03962959626,0.1882006214
2017,WW_A0W5e-7,42.16331659,0.3678551383,0.2729006787,0.1178426581,0.1147889392,0.002898223263,0.0008576894783,0.0004928884395,0.0003648010388,0.01832312774,0.01356147862,1.926207865,2.076600922,0.01832312774,0.01356147862,0.03431485836,0.01356147862,0.01832312774,0.01356147862,1,1,1.872762055,1,1,1,0,0,1.0,1.0,0,0.01356147862,0.01599173062,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.01832312774,0.01356147862,1.926207865,2.076600922,0.01832312774,0,0.01832312774,0.01356147862,0.01832312774,0.01356147862,1,2,1,1,1,1,0,0,0.0004928884395,0.0003648010388
